mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
' soda lake,water,1483,"Soda Lake, Soda Lake Road, San Luis Obispo County, California, United States of America","berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_santa barbara.json,huntington beach_and_santa barbara.json,huntington beach_and_santa cruz.json,long beach_and_napa.json,long beach_and_pismo beach.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa cruz.json,long beach_and_stockton.json,los angeles_and_pismo beach.json,los angeles_and_san jose.json,malibu_and_pismo beach.json,malibu_and_sacramento.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_stockton.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,newport beach_and_santa barbara.json,newport beach_and_santa cruz.json,pismo beach_and_riverside.json,pismo beach_and_santa ana.json,pismo beach_and_santa barbara.json,pismo beach_and_santa cruz.json,san bernardino_and_san francisco.json,san diego_and_santa barbara.json,san diego_and_santa cruz.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa monica.json,san jose_and_santa barbara.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa cruz.json,santa barbara_and_stockton.json,santa cruz_and_santa monica.json"
the strip,hamlet,30,"Cherokee Strip, Kern County, California, United States of America",fremont_and_santa barbara.json
woodland hills/warner,cinema,137,"Woodland Hills AMC 16, AMC Place, Warner Center, LA, Los Angeles County, California, 91367, United States of America","beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_santa ana.json,pasadena_and_santa monica.json"
north natomas,dam,108,"Natomas Diversion Dam (historical), El Dorado County, California, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
los angeles/kern county,primary,36,"California City Boulevard, California City, Kern County, California, United States of America",mammoth lakes_and_santa clarita.json
northspur,hamlet,71,"Northspur, Mendocino County, California, United States of America","huntington beach_and_mammoth lakes.json,mammoth lakes_and_temecula.json"
washington drive,residential,27,"Washington Drive, Salinas, Monterey County, California, 93905, United States of America",berkeley_and_riverside.json
lake arrowhead,water,1119,"Lake Arrowhead, Shelter Cove Lane, North Shore, San Bernardino County, California, 92407, United States of America","anaheim_and_pismo beach.json,anaheim_and_san bernardino.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_santa cruz.json,avalon_and_big bear lake.json,avalon_and_malibu.json,bakersfield_and_big bear lake.json,big bear lake_and_long beach.json,big bear lake_and_los angeles.json,big bear lake_and_napa.json,big bear lake_and_pasadena.json,big bear lake_and_sacramento.json,big bear lake_and_santa ana.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,irvine_and_sacramento.json,irvine_and_san bernardino.json,big bear lake_and_san bernardino.json,long beach_and_san bernardino.json,los angeles_and_stockton.json,oakland_and_santa barbara.json,pasadena_and_sacramento.json,riverside_and_san bernardino.json,san bernardino_and_san diego.json,san bernardino_and_san jose.json,san bernardino_and_santa monica.json,san bernardino_and_temecula.json,san francisco_and_santa monica.json,sacramento_and_san bernardino.json,san jose_and_santa monica.json,irvine_and_stockton.json,stockton_and_temecula.json"
united states highway 101,convenience,116,"Mercado California, Monterey Highway, Silver Creek, San José, Santa Clara County, California, 95111, United States of America","fresno_and_los angeles.json,fresno_and_pismo beach.json,los angeles_and_oakland.json,newport beach_and_san jose.json"
upper silver creek trail,cycleway,108,"Upper Silver Creek Trail, Silver Creek, San José, Santa Clara County, California, 95121, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
elk,hamlet,141,"Elk, Fresno County, California, United States of America","huntington beach_and_monterey.json,huntington beach_and_san francisco.json,huntington beach_and_stockton.json,monterey_and_newport beach.json"
la quinta inn monterey,hotel,25,"La Quinta Inn Monterey, Del Monte Avenue, Monterey, Monterey County, California, 93940, United States of America",fremont_and_monterey.json
angelinos,restaurant,56,"Angelino's, Bridgeway, Sausalito, Marin County, California, 94965, United States of America","fresno_and_san jose.json,santa monica_and_sausalito.json"
coast ridge,island,201,"Coast Guard Station Oakland;Coast Guard Island, Alameda, Alameda County, California, United States of America","berkeley_and_san luis obispo.json,fremont_and_san luis obispo.json,irvine_and_san luis obispo.json,oakland_and_san luis obispo.json,sacramento_and_san luis obispo.json,san luis obispo_and_stockton.json"
temecula creek inn golf course,golf_course,56,"Temecula Creek Inn Golf Course, Rainbow Canyon Road, California Sunset, Temecula Creek Village, Temecula, Riverside County, California, 92592, United States of America","long beach_and_temecula.json,san diego_and_temecula.json"
best city,electronics,24,"Best Buy, 2675, Geary Boulevard, North of Panhandle, SF, California, 94118, United States of America",irvine_and_stockton.json
tongva park,park,716,"Tongva Park, Pacific Coast Highway, Santa Monica, Los Angeles County, California, CA 90401, United States of America","bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_huntington beach.json,fresno_and_long beach.json,fresno_and_santa ana.json,huntington beach_and_santa monica.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,los angeles_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
santa cruz county,administrative,1589,"Santa Cruz County, California, United States of America","anaheim_and_santa cruz.json,avalon_and_santa cruz.json,bakersfield_and_santa cruz.json,berkeley_and_riverside.json,berkeley_and_santa cruz.json,beverly hills_and_monterey.json,beverly hills_and_san francisco.json,beverly hills_and_san luis obispo.json,beverly hills_and_santa cruz.json,big bear lake_and_san jose.json,carlsbad_and_monterey.json,carlsbad_and_santa cruz.json,fremont_and_santa ana.json,fremont_and_santa cruz.json,fresno_and_monterey.json,fresno_and_santa cruz.json,huntington beach_and_santa cruz.json,irvine_and_santa cruz.json,long beach_and_napa.json,long beach_and_santa cruz.json,long beach_and_sausalito.json,los angeles_and_monterey.json,malibu_and_santa cruz.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,monterey_and_san luis obispo.json,monterey_and_santa clarita.json,monterey_and_santa cruz.json,monterey_and_temecula.json,napa_and_santa ana.json,napa_and_santa cruz.json,long beach_and_monterey.json,los angeles_and_santa cruz.json,newport beach_and_santa cruz.json,oakland_and_santa cruz.json,pasadena_and_santa cruz.json,riverside_and_santa cruz.json,sacramento_and_santa cruz.json,san bernardino_and_santa cruz.json,san diego_and_santa cruz.json,san francisco_and_santa ana.json,san francisco_and_santa cruz.json,san jose_and_santa cruz.json,santa ana_and_santa cruz.json,santa ana_and_sausalito.json,santa barbara_and_santa cruz.json,santa clarita_and_santa cruz.json,santa cruz_and_santa monica.json,santa cruz_and_sausalito.json,santa cruz_and_stockton.json,santa cruz_and_temecula.json"
berkeley township,university,27,"UC Berkeley, Centennial Drive, Oakland, Alameda County, California, 94720, United States of America",berkeley_and_riverside.json
grant 's grove,university,59,"California Western School of Law, Cedar Street, Hillcrest, San Diego, San Diego County, California, 92101, United States of America","fresno_and_san diego.json,san bernardino_and_san diego.json"
surf city,rapids,790,"Surf City, Tuolumne County, California, United States of America","anaheim_and_sausalito.json,avalon_and_monterey.json,bakersfield_and_mammoth lakes.json,fremont_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_mammoth lakes.json,huntington beach_and_monterey.json,huntington beach_and_oakland.json,huntington beach_and_sacramento.json,huntington beach_and_san francisco.json,huntington beach_and_sausalito.json,irvine_and_monterey.json,irvine_and_sausalito.json,huntington beach_and_san jose.json,los angeles_and_sausalito.json,mammoth lakes_and_temecula.json,monterey_and_san diego.json,monterey_and_santa barbara.json,newport beach_and_oakland.json,oakland_and_riverside.json,oakland_and_santa ana.json,san diego_and_sausalito.json,san francisco_and_santa barbara.json,santa barbara_and_sausalito.json,santa monica_and_sausalito.json"
el monte,city,868,"El Monte, Los Angeles County, California, United States of America","bakersfield_and_beverly hills.json,bakersfield_and_long beach.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_san bernardino.json,fresno_and_santa ana.json,long beach_and_oakland.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,long beach_and_santa clarita.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,oakland_and_san bernardino.json,pasadena_and_riverside.json,riverside_and_santa monica.json,sacramento_and_santa ana.json,san bernardino_and_santa monica.json,santa monica_and_temecula.json"
bart warm springs station,construction,25,"BART Warm Springs/South Fremont, Lopes Court, Snoboy, Warm Springs District, Fremont, Alameda County, California, 94539, United States of America",berkeley_and_fremont.json
garden,track,120,"Garden, Menifee, Riverside County, California, 92530, United States of America","anaheim_and_berkeley.json,anaheim_and_san luis obispo.json,berkeley_and_santa barbara.json,riverside_and_santa cruz.json"
university avenue,residential,102,"University Avenue, Saint James Park, LA, Los Angeles County, California, 90007, United States of America","berkeley_and_los angeles.json,irvine_and_oakland.json,malibu_and_oakland.json,malibu_and_san jose.json"
north coast of california,place_of_worship,27,"Islamic Cultural Center of Northern California, 1433, Madison Street, Lakeside, Oakland, Alameda County, California, 94612, United States of America",anaheim_and_sacramento.json
mission santa clara,place_of_worship,30,"Mission Santa Clara de Asis, Alviso Mall, Santa Clara, Santa Clara County, California, 95050, United States of America",los angeles_and_sausalito.json
poinsettia lane,secondary,24,"Poinsettia Lane, Carlsbad, San Diego County, California, 92011, United States of America",carlsbad_and_irvine.json
anaheim stadium,stadium,608,"Angel Stadium of Anaheim, South Douglass Road, Anaheim Resort District, Anaheim, Orange County, California, 92806, United States of America","anaheim_and_avalon.json,anaheim_and_irvine.json,anaheim_and_riverside.json,bakersfield_and_newport beach.json,fremont_and_huntington beach.json,fremont_and_newport beach.json,fresno_and_santa ana.json,huntington beach_and_irvine.json,huntington beach_and_oakland.json,huntington beach_and_santa ana.json,huntington beach_and_santa clarita.json,huntington beach_and_stockton.json,irvine_and_long beach.json,irvine_and_santa ana.json,long beach_and_riverside.json,newport beach_and_oakland.json,newport beach_and_santa ana.json,oakland_and_riverside.json,oakland_and_santa ana.json,riverside_and_santa ana.json"
dublin blvd,secondary,30,"Dublin Boulevard, Dublin, Alameda County, California, 94568, United States of America",beverly hills_and_oakland.json
harris way,unclassified,26,"Harris Way, Berryessa, San José, Santa Clara County, California, 95131, United States of America",san jose_and_stockton.json
millbrae bart station,station,25,"Millbrae, Camino Millenia, Millbrae, San Mateo County, California, 94030, United States of America",oakland_and_stockton.json
lake tahoe boulevard,trunk,108,"Lake Tahoe Boulevard, South Lake Tahoe, El Dorado County, California, 96151, United States of America","mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json"
pioneer cemetery,cemetery,24,"Pioneer Cemetery, Poleta, Inyo County, California, 93515, United States of America",avalon_and_monterey.json
vallejo valley,city,78,"Vallejo, Solano County, California, United States of America","los angeles_and_napa.json,napa_and_sacramento.json,napa_and_san francisco.json"
millbrook,residential,22,"Millbrook, Lathrop, San Joaquin County, California, 95330, United States of America",avalon_and_fresno.json
macarthur park,park,739,"MacArthur Park, Wilshire Boulevard, Angelino Heights, LA, Los Angeles County, California, 90057, United States of America","avalon_and_beverly hills.json,bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_monterey.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,los angeles_and_santa clarita.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
