"mention_name@blogNonCitySrc","mention_type@blogNonCitySrc","mention_popularity@blogNonCitySrc","mention_address@blogNonCitySrc","zip_code@blogNonCitySrc","mention_longitude@blogNonCitySrc","mention_latitude@blogNonCitySrc","no_of_blogFiles@blogNonCitySrc","mention_found_in_blogFiles@blogNonCitySrc","attraction_name@tripAdvMentionsSrc","attraction_knownFor@tripAdvMentionsSrc","attraction_reviewComment@tripAdvMentionsSrc","attraction_ranking@tripAdvMentionsSrc","attraction_no_of_reviews@tripAdvMentionsSrc","attraction_contact@tripAdvMentionsSrc","attraction_in@tripAdvMentionsSrc","attraction_address@tripAdvMentionsSrc","zip_code@tripAdvMentionsSrc","attraction_longitude@tripAdvMentionsSrc","attraction_latitude@tripAdvMentionsSrc","attraction_url@tripAdvMentionsSrc","attraction_in_file@tripAdvMentionsSrc","youTubeLinkIds@tripAdvMentionsSrc","Confidence"
"dog beach","beach","4","""Dog Beach, Ocean Beach Bike Path, Pacific Beach, San Diego, San Diego County, California, 92109, United States of America""","92109","-117.2529536","32.7552506","12","""avalon_and_fresno.json,avalon_and_malibu.json,bakersfield_and_huntington beach.json,fremont_and_huntington beach.json,fresno_and_huntington beach.json,huntington beach_and_mammoth lakes.json,huntington beach_and_sausalito.json,long beach_and_malibu.json,malibu_and_newport beach.json,mammoth lakes_and_temecula.json,newport beach_and_san diego.json,newport beach_and_pismo beach.json""","Dog Beach","""Beaches , Nature & Parks , Outdoor Activities""","""If you're a dog lover, you'll love strolling on dog beach where dogs can frolic to their hearts delight off-leash. There a couple of restaurants here as well (but not sure what... read more""","3","185","","Del Mar","""3006 Sandy Ln , Del Mar , CA 92014-2000""","92014","","","https://www.tripadvisor.com/Attraction_Review-g32286-d2642805-Reviews-Dog_Beach-Del_Mar_California.html","del_mar.json","""MUm6brG1vfs,jRAYpYSH5ag,19MLCHKjqvs""","100"
"asistencia","heritage","1","""San Bernardino Asistencia, 26930, Barton Road, Redlands, San Bernardino County, California, 92373, United States of America""","26930","-117.2167061","34.0489029","1","san bernardino_and_santa ana.json","Asistencia","","The bell-tower or wall of this little museum makes a nice landmark for the end of Loma Linda and the beginning of Redlands. An asistencia was a kind of annex to a Mission... read more","26","6","(909) 793-5402","Redlands","""26930 Barton Rd , Redlands , CA 92373-4312""","26930","","","https://www.tripadvisor.com/Attraction_Review-g32953-d8652565-Reviews-Asistencia-Redlands_California.html","redlands.json","""YGP6usNfFnA,n2G126FAzXE,7ZshJnroQUU""","100"
"union station","yes","9","""Union Station, 800, Alameda Street, Naud Junction, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America""","90012","-118.235796451972","34.0560576","31","""avalon_and_pasadena.json,anaheim_and_santa monica.json,berkeley_and_long beach.json,bakersfield_and_beverly hills.json,bakersfield_and_riverside.json,bakersfield_and_santa monica.json,berkeley_and_los angeles.json,berkeley_and_malibu.json,berkeley_and_pasadena.json,berkeley_and_santa monica.json,berkeley_and_beverly hills.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_pasadena.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,fresno_and_long beach.json,fresno_and_santa ana.json,huntington beach_and_santa barbara.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,pasadena_and_santa monica.json,sacramento_and_santa ana.json,santa monica_and_temecula.json""","Union Station","""Neighborhood: Central L.A Mass Transportation Systems , Architectural Buildings , Points of Interest & Landmarks , Sights & Landmarks , Transportation , More ""","What a great job restoring the station with it's high arches and tall ceilings. Lots of attention to detail and the good use of the facility and courtyards for food and... read more","27","""1,024""","+1 800-872-7245","Los Angeles","""800 N Alameda St , Downtown , Los Angeles , CA 90012-2177""","90012","","","https://www.tripadvisor.com/Attraction_Review-g32655-d116315-Reviews-Union_Station-Los_Angeles_California.html","los_angeles.json","""HKgTra0QldE,ALcdFAAojt4""","100"
"aliso beach park","beach","1","""Aliso Beach, Coast Highway, Laguna Beach, Orange County, California, 92651, United States of America""","92651","-117.7525543","33.5100268","2","""avalon_and_long beach.json,avalon_and_los angeles.json""","Aliso Beach Park","","""Great beach, easy to get to with lots of parking. The beach is dog friendly and popular with surfers. One word of caution, the sand running into the sea is a little steep and the... read more""","11","104","(949)923-2280","Laguna Beach","""31131 S. Pacific Coast Hwy , Laguna Beach , CA 92652""","31131","","","https://www.tripadvisor.com/Attraction_Review-g32588-d4087681-Reviews-Aliso_Beach_Park-Laguna_Beach_California.html","laguna_beach.json","""c7NVYfnzVXI,tJiKR_QGbDY,4OuNItXs59I""","100"
"descanso gardens","park","4","""Descanso Gardens, Descanso Drive, La Ca��ada Flintridge, Los Angeles County, California, 91011, United States of America""","91011","-118.210957288541","34.2020938","4","""beverly hills_and_pasadena.json,beverly hills_and_santa clarita.json,huntington beach_and_pasadena.json,malibu_and_pasadena.json""","Descanso Gardens","""Gardens , Nature & Parks""","Two of us toured the facility on a recent mid-week morning. The gardens are beautifully maintained and have nice walking trails both paved and unpaved throughout the various... read more","1","225","+1 818-949-4200","La Canada Flintridge","""1418 Descanso Dr , La Canada Flintridge , CA 91011-3102""","91011","","","https://www.tripadvisor.com/Attraction_Review-g32573-d127284-Reviews-Descanso_Gardens-La_Canada_Flintridge_California.html","la_canada_flintridge.json","""gKpZZsEbMEs,ha8xY7vk5ZI,XOtZoAd6seE""","100"
"heisler park","park","3","""Heisler Park, Cliff Drive, Laguna Beach, Orange County, California, 92651, United States of America""","92651","-117.791768369303","33.54377575","4","""fremont_and_huntington beach.json,huntington beach_and_stockton.json,newport beach_and_santa ana.json,santa clarita_and_temecula.json""","Heisler Park","Nature & Parks","""Walk the paved path or down on the sand. Fantastic place to watch the sunset. Lots of families walking, dog walking etc""","1","832","+1 949-497-3311","Laguna Beach","""375 Cliff Dr , Laguna Beach , CA 92651-1623""","92651","","","https://www.tripadvisor.com/Attraction_Review-g32588-d2627614-Reviews-Heisler_Park-Laguna_Beach_California.html","laguna_beach.json","""E-g6R1Bj_E0,UlvBaBClid0,cp9PJK9JRC0""","100"
"topanga state beach","hamlet","2","""18700, Topanga State Beach, Los Angeles County, California, 90265, United States of America""","18700","-118.582630921924","34.0387197","3","""long beach_and_malibu.json,malibu_and_sacramento.json,malibu_and_santa monica.json""","Topanga State Beach","","""I crawled in here after a suffer-fest bike ride in the heat of the Santa Monicas. There was easy parking on the PCH, but there is also parking lot parking available.On a Monday... read more""","18","38","+1 310-394-3266","Malibu","""18700 Pacific Coast Hwy , Malibu , CA 90265-5525""","18700","","","https://www.tripadvisor.com/Attraction_Review-g32676-d560728-Reviews-Topanga_State_Beach-Malibu_California.html","malibu.json","""sxBnOyBAkyc,nY26glzhiFc,NsnG5AuZCuo""","100"
"huntington beach state park","beach","2","""Huntington State Beach, Beach Trail, Huntington Beach, Orange County, California, 92646, United States of America""","92646","-117.973746575656","33.6389946","2","""huntington beach_and_long beach.json,huntington beach_and_los angeles.json""","Huntington Beach State Park","""State Parks , Nature & Parks""","""We loved the entire Huntington Beach area! The beach is awesome! Lots of good restaurants, places to shop and places for dogs. It doesn't get any better than this!""","4","246","+1 714-536-1454","Huntington Beach","""21601 Pacific Coast Hwy , Huntington Beach , CA 92646-7600""","21601","","","https://www.tripadvisor.com/Attraction_Review-g32513-d3317875-Reviews-Huntington_Beach_State_Park-Huntington_Beach_California.html","huntington_beach.json","""4b2L4Ut-Ark,ikydgOCETIM,XyMPxzUAUGg""","100"
"mullholland drive","water_tank","1","""EBMUD Mullholland Reservoir, Donald Drive, Rheem Valley, Moraga, Contra Costa County, California, 94556, United States of America""","94556","-122.1430436","37.8584346","8","""berkeley_and_malibu.json,berkeley_and_santa monica.json,beverly hills_and_san francisco.json,malibu_and_napa.json,malibu_and_san francisco.json,malibu_and_monterey.json,newport beach_and_san francisco.json,san francisco_and_santa clarita.json""","Mulholland Drive","""Scenic Drives , Sights & Landmarks , Outdoor Activities""","""Mulholland drive is a must for anybody visiting Los Angeles. The view is amazing, as you can see greater L.A. from a different point of view.""","2","590","","Beverly Hills","""Mulholland Drive , Beverly Hills , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g32070-d156413-Reviews-Mulholland_Drive-Beverly_Hills_California.html","beverly_hills.json","""XQ5Q0CHQ0EU,CXZK0Binfk4,KniTSLcQIdI""","100"
"forest lawn memorial park","cemetery","2","""Forest Lawn Memorial Park, Atwater, LA, Los Angeles County, California, 91205, United States of America""","91205","-118.245497004355","34.12453735","2","""beverly hills_and_pasadena.json,san bernardino_and_santa monica.json""","Forest Lawn Memorial Park","""Cemeteries , Sights & Landmarks""","""We were reviewing what to see in Glendale and came across information about the Trilogy Collection in the Mausoleum and Hall. The buildings contain lovely statuary, stained glass... read more""","2","171","800-204-3131","Glendale","""1712 S Glendale Ave , Glendale , CA 91205-3320""","91205","","","https://www.tripadvisor.com/Attraction_Review-g32431-d103417-Reviews-Forest_Lawn_Memorial_Park-Glendale_California.html","glendale.json","""9PwXscNdvIE,wHbfv8ndD8U,0Fh8JdmfsJo""","100"
"pismo state beach","national_park","11","""Pismo State Beach, San Luis Obispo County, California, United States of America""","","-120.62834686522","35.1061627","32","""anaheim_and_san luis obispo.json,avalon_and_pismo beach.json,beverly hills_and_pismo beach.json,bakersfield_and_san luis obispo.json,berkeley_and_san luis obispo.json,beverly hills_and_san luis obispo.json,fremont_and_san luis obispo.json,fresno_and_san luis obispo.json,irvine_and_san luis obispo.json,long beach_and_pismo beach.json,long beach_and_san luis obispo.json,los angeles_and_san luis obispo.json,malibu_and_pismo beach.json,monterey_and_san luis obispo.json,mammoth lakes_and_pismo beach.json,newport beach_and_san luis obispo.json,oakland_and_san luis obispo.json,pasadena_and_san luis obispo.json,pismo beach_and_san diego.json,pismo beach_and_san jose.json,pismo beach_and_san luis obispo.json,pismo beach_and_santa ana.json,pismo beach_and_stockton.json,riverside_and_san luis obispo.json,sacramento_and_san luis obispo.json,san jose_and_san luis obispo.json,newport beach_and_pismo beach.json,oakland_and_pismo beach.json,san luis obispo_and_santa ana.json,san luis obispo_and_stockton.json,santa barbara_and_sausalito.json,santa monica_and_sausalito.json""","Pismo State Beach","""Beaches , Outdoor Activities , Nature & Parks""","Six year old and I had a great time finding sand dollars. Vehicles are allowed on the beach here and you need to be aware of them. The waves are a bit rough and the water cold... read more","3","75","","Oceano","""555 Pier Ave , Oceano , CA 93445-9663""","93445","","","https://www.tripadvisor.com/Attraction_Review-g32814-d4289861-Reviews-Pismo_State_Beach-Oceano_San_Luis_Obispo_County_California.html","oceano.json","""iav1ieclgg8,es8nx-s9-tM,JUbWhd6Q-Jk""","100"
"san diego zoo","zoo","3","""San Diego Zoo, 2920, Zoo Drive, North Park, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""","92101","-117.150654057615","32.73598735","5","""berkeley_and_carlsbad.json,beverly hills_and_fresno.json,carlsbad_and_santa monica.json,huntington beach_and_san diego.json,malibu_and_santa clarita.json""","San Diego Zoo","""Zoos & Aquariums , Nature & Parks , Outdoor Activities ""","A wonderful experience for the whole family. The zoo has all the classic animals as well as unique animals you've never even heard of! It is a full day of walking! Be aware... read more","2","""18,449""","16192310249","San Diego","""2929 Zoo Drive , San Diego , CA 92101""","92101","-117.148651216525","32.7377958235922","https://www.tripadvisor.com/Attraction_Review-g60750-d104122-Reviews-San_Diego_Zoo-San_Diego_California.html","san_diego.json","""k4DdsyQV08A,tb0WZpZQI_8""","100"
"castaways park","residential","3","""Castaways North, Balboa Island, Newport Beach, Orange County, California, 92660, United States of America""","92660","-117.9034352","33.622882","5","""big bear lake_and_santa clarita.json,long beach_and_riverside.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,newport beach_and_riverside.json""","Castaways Park","","The week before Memorial Day the Exchange Club places 1776 American Flags on the Castaways Park. It is open to everyone for about 3 days. What a special treat they provide our... read more","26","16","","Newport Beach","""Newport Beach , CA""","","-117.92944","33.6170092","https://www.tripadvisor.com/Attraction_Review-g32780-d7751786-Reviews-Castaways_Park-Newport_Beach_California.html","newport_beach.json","""_aaKUQJuV74,_iv6EVdl9No,tPScXxfAgo8""","100"
"crystal lake","locality","1","""Crystal Lake, Yuba Pass, Nevada County, California, United States of America""","","-120.5772002","39.3198533","5","""beverly hills_and_fresno.json,beverly hills_and_oakland.json,beverly hills_and_san francisco.json,beverly hills_and_stockton.json,pasadena_and_san francisco.json""","Crystal Lake","","The drive up to Crystal Lake is half the fun of getting there. The other half is the piping hot bowl o chili and a burger at the lodge next to the lake open late spring until... read more","3","10","","Azusa","""San Gabriel River Trail , Azusa , CA""","","","","https://www.tripadvisor.com/Attraction_Review-g29125-d4359487-Reviews-Crystal_Lake-Azusa_California.html","azusa.json","""CvJQ1pFBi8A,bROQ9Lse9ns,6WyZ2GcdmCM""","100"
"pacific heights","neighbourhood","3","""Pacific Heights, SF, California, 94123, United States of America""","94123","-122.4320311","37.7965805","4","""avalon_and_sausalito.json,berkeley_and_san francisco.json,oakland_and_san francisco.json,sacramento_and_san francisco.json""","Pacific Heights","""Neighborhoods , Sights & Landmarks , Other""","Just happen on this tour and really enjoy it. Julie and Dennis was a great pair. Lots of history between the two of them. Highly recommend this tour because of the great places we... read more","114","66","+1 415-563-5341","San Francisco","""2356 Pine St , San Francisco , CA 94115-2715""","94115","","","https://www.tripadvisor.com/Attraction_Review-g60713-d142482-Reviews-Pacific_Heights-San_Francisco_California.html","san_francisco.json","""XBUdCBxrhZo,PrVtU25MSqQ""","100"
