attraction_name,attraction_knownFor,attraction_reviewComment,attraction_ranking,attraction_no_of_reviews,attraction_contact,attraction_in,attraction_address,attraction_longitude,attraction_latitude,attraction_url,attraction_in_file
Summit Valley Edmund D. Edelman Park,,"We were staying nearby so took the occasion to hike the trails nearby. Not a huge set of trails, but lots of pleasant spur trails, lots of wild flowers and plenty of wildlife... read more",5,2,,Topanga,"Topanga Canyon Boulevard , Topanga , CA 90290",-118.5883914,34.0731011,https://www.tripadvisor.com/Attraction_Review-g1052868-d10091089-Reviews-Summit_Valley_Edmund_D_Edelman_Park-Topanga_California.html,topanga.json
Malibu Country Mart,,Very nice spot to grab lunch or maybe a gelato (Grom is so good!) and window shop for a bit. Everything in this outdoor shopping mall is beautiful and feels very SoCal. If you're... read more,12,68,+1 310-826-5635,Malibu,"3835 Cross Creek Rd , Malibu , CA 90265-4978",,,https://www.tripadvisor.com/Attraction_Review-g32676-d2524099-Reviews-Malibu_Country_Mart-Malibu_California.html,malibu.json
Adamson House and Malibu Lagoon Museum,"Neighborhood: Malibu Historic Sites , Beaches , Outdoor Activities , Nature & Parks , Sights & Landmarks","Historical site. Beautiful garden and flowers, closed to wild area with birds. comments interesting. children like and we will come again",8,130,+1 310-456-8432,Malibu,"23200 Pacific Coast Hwy , Malibu , CA 90265-4937",,,https://www.tripadvisor.com/Attraction_Review-g32676-d127423-Reviews-Adamson_House_and_Malibu_Lagoon_Museum-Malibu_California.html,malibu.json
Malibu Lagoon State Beach,,It's almost unbelievable the views each of these beaches hav. Parking was good for us crowds non existent,10,148,+1 818-880-0350,Malibu,"23200 Pacific Coast Hwy , Malibu , CA 90265-4937",,,https://www.tripadvisor.com/Attraction_Review-g32676-d266789-Reviews-Malibu_Lagoon_State_Beach-Malibu_California.html,malibu.json
Cinepolis Movie Theater,"Movie Theaters , Fun & Games","Ever since it opened, I cannot go to a regular movie theater any longer. Chairs are super comfy and food is OK -but don't expect gourmet meals - good snacks type of food. Staff is... read more",2,125,+1 805-413-8838,Westlake Village,"180 Promenade Way , Westlake Village , CA 91362-3826",,,https://www.tripadvisor.com/Attraction_Review-g33258-d3633419-Reviews-Cinepolis_Movie_Theater-Westlake_Village_California.html,westlake_village.json
Paramount Ranch,"Ghost Towns , National Parks , Ranches , Sights & Landmarks , Nature & Parks , More",A wonderful place to stop by - it's only a few minutes off the highway and totally worth a detour. You can park for free and we had the place to ourselves which was fun. You can... read more,1,68,805-370-2301,Agoura,"Cornell Road , Agoura , CA",-118.7557389,34.144261,https://www.tripadvisor.com/Attraction_Review-g29068-d102949-Reviews-Paramount_Ranch-Agoura_California.html,agoura.json
The Spa at Four Seasons Hotel Westlake Village,Spas & Wellness,Atmosphere in this spa is very relaxing and staff is great. Massage therapist was knowledgeable (deep tissue) and focused and worked on areas really needed 'relaxing'. I wish I... read more,1,106,+1 818-575-3000,Westlake Village,"2 Dole Dr , Westlake Village , CA 91362-7300",,,https://www.tripadvisor.com/Attraction_Review-g33258-d1028837-Reviews-The_Spa_at_Four_Seasons_Hotel_Westlake_Village-Westlake_Village_California.html,westlake_village.json
Pinkberry,,I'm not a fan of the tart original...I'm more into gourmet ice cream...gelato is my favorite...but as far as nonfat frozen yogurt goes...this has an interesting taste..but not... read more,8,5,+1 805-777-7779,Westlake Village,"3835 E Thousand Oaks Blvd , Westlake Village , CA 91362-3637",,,https://www.tripadvisor.com/Attraction_Review-g33258-d665595-Reviews-Pinkberry-Westlake_Village_California.html,westlake_village.json
Bogies at the Westlake Village Inn,,Great location and great food. We had steaks and deserts (I had a beautiful Apple Tart). The service was great and they had a really good wine selection - we chose local... read more,6,14,+1 818-889-2394,Westlake Village,"32001 Agoura Rd , Westlake Village , CA 91361-4024",,,https://www.tripadvisor.com/Attraction_Review-g33258-d5834640-Reviews-Bogies_at_the_Westlake_Village_Inn-Westlake_Village_California.html,westlake_village.json
Ronald Reagan Presidential Library and Museum,"Libraries , Specialty Museums , Traveler Resources , Museums",The exhibit did an excellent job of bringing the life and times of Ronald Reagan to the viewer. I really liked all of the video presentations which brought back a lot of memories... read more,1,"2,042",+1 800-410-8354,Simi Valley,"40 Presidential Dr , Simi Valley , CA 93065-0600",,,https://www.tripadvisor.com/Attraction_Review-g33093-d145836-Reviews-Ronald_Reagan_Presidential_Library_and_Museum-Simi_Valley_California.html,simi_valley.json
Westlake Golf Course,,"I give it a good rating considering it was their first. Definitely need starwaggons, or more porta potties for next year. More bars , and more food trucks! Entertainment was... read more",5,20,+1 818-889-0770,Westlake Village,"4812 Lakeview Canyon Rd , Westlake Village , CA 91361-4030",,,https://www.tripadvisor.com/Attraction_Review-g33258-d591160-Reviews-Westlake_Golf_Course-Westlake_Village_California.html,westlake_village.json
The Canyon Club,,"Went there to watch the Boogie nights concert. First time there and enjoyed it. Lots of sitting space, large dance floor. The music was great. The only bad things were the music... read more",2,27,+1 818-879-5016,Agoura,"28912 Roadside Dr , Agoura , CA 91301-3304",,,https://www.tripadvisor.com/Attraction_Review-g29068-d3460000-Reviews-The_Canyon_Club-Agoura_California.html,agoura.json
Giessinger Winery,,New wines and grapes we had never even heard of. The Lady sure knew her wine facts and history. The bottle of the one we liked was a little expensive for us though at $30.,4,10,805-405-5557,Fillmore,"365 Santa Clara St , Fillmore , CA 93015-2013",,,https://www.tripadvisor.com/Attraction_Review-g32382-d6924462-Reviews-Giessinger_Winery-Fillmore_California.html,fillmore.json
Pedego 101 Electric Bikes Rentals,"“ Electric Bicyles - what a great fun invention! ” Reviewed July 23, 2016 We went on a tour of the Paramount Ranch (movie set that is still actively used for movie and TV shoots and weddings!), Malibu Creek State Park (formerly 20th Century Fox studio lot) and King Gillette Ranch. The tour was electric bike (25 miles round trip) and pleasant walks around the movie sets with Brian Rooney who is a very... More Helpful? 1 Thank Brbiam Report",,9,,,Westlake Village,,,,https://www.tripadvisor.com/Attraction_Review-g33258-d7296815-Reviews-Pedego_101_Electric_Bikes_Rentals-Westlake_Village_California.html,westlake_village.json
Bernice Bennett Park,,"Very nice safe park for the entire family. Clean, olympic size swimming pool, basket ball courts, kids play area full mens and women's bathrooms nice trees for shade.",7,7,,Westlake Village,"31800 Village Center Rd , Westlake Village , CA 91361-4315",,,https://www.tripadvisor.com/Attraction_Review-g33258-d8694015-Reviews-Bernice_Bennett_Park-Westlake_Village_California.html,westlake_village.json
America's Teaching Zoo at Moorpark College,,"The Student at this Teaching Zoo, are just big kids having fun. here a place that you can go on your lunch time, with your family, with your classmates from school for a field... read more",2,23,+1 805-378-1441,Moorpark,"7075 Campus Rd , Moorpark , CA 93021-1605",,,https://www.tripadvisor.com/Attraction_Review-g32741-d2525574-Reviews-America_s_Teaching_Zoo_at_Moorpark_College-Moorpark_California.html,moorpark.json
Sip Malibu,,I really liked sip to sit and relax to drink wine. The place is cute and the atmosphere is fun with friends. Great place for the weekend or after work to just kick back. I'm not... read more,3,5,+1 818-865-0440,Agoura,"2598 Sierra Creek Rd , Agoura , CA 91301-3128",,,https://www.tripadvisor.com/Attraction_Review-g29068-d3601016-Reviews-Sip_Malibu-Agoura_California.html,agoura.json
Fillmore Historical Museum,,Much to see and learn here. Two floors - stairs only I believe. Right next door to the Fillmore Train rides.,5,6,805-524-0948,Fillmore,"350 Main St , Fillmore , CA 93015-2040",,,https://www.tripadvisor.com/Attraction_Review-g32382-d7051840-Reviews-Fillmore_Historical_Museum-Fillmore_California.html,fillmore.json
Fillmore Fish Hatchery,,A memorable experience feeding fish! Bring a pocket full of dimes and a cup! There are coin operated fish food dispensers there and you are encouraged to feed the fish! 🐡 The... read more,3,16,(916) 327-8840,Fillmore,"Fish Hatchery Road , Fillmore , CA 93015",-118.8917859,34.396252,https://www.tripadvisor.com/Attraction_Review-g32382-d7202893-Reviews-Fillmore_Fish_Hatchery-Fillmore_California.html,fillmore.json
Fillmore & Western Railway Company,,"Cool old school train, stopped at a park and a honey farm. People working were really nice and know their history. Three main areas of the train to hang out in. Dining cart has AC... read more",2,80,+1 805-524-2546,Fillmore,"364 Main St , Fillmore , CA 93015-2040",,,https://www.tripadvisor.com/Attraction_Review-g32382-d279356-Reviews-Fillmore_Western_Railway_Company-Fillmore_California.html,fillmore.json
Bennett's Honey Farm,,Great little place to check out. They had more types of honey than I knew existed and all were available to sample before you buy. Prices were pretty good. Lots of honey related... read more,1,32,+1 805-521-1375,Fillmore,"3176 Honey Ln , Highway 126 , Fillmore , CA 93015-2026",,,https://www.tripadvisor.com/Attraction_Review-g32382-d3268033-Reviews-Bennett_s_Honey_Farm-Fillmore_California.html,fillmore.json
Excido Escape Room,"“ A different kind of fun! ” Reviewed August 29, 2016 via mobile For our very first experience we would have loved a little more explanation on what to do but we had a really awesome time and definitely will go back again. My husband and I were alone so next time we will bring other people as it would be more fun to do it with a group. It's nice to have... More Helpful? Thank SunnygirlC Report",,8,,,Moorpark,,,,https://www.tripadvisor.com/Attraction_Review-g32741-d8629260-Reviews-Excido_Escape_Room-Moorpark_California.html,moorpark.json
Tubing Sugar Cane Irrigation Ditch,,,9,,,Moorpark,"6791 Lafayette Ct , Moorpark , CA 93021-1353",,,https://www.tripadvisor.com/Attraction_Review-g32741-d4362999-Reviews-Tubing_Sugar_Cane_Irrigation_Ditch-Moorpark_California.html,moorpark.json
Clago's Pond,"“ Fun concept, but not much action ” Reviewed June 26, 2016 Didn't even know this place existed until we (3 teens and 2 adults) drove by- it didn't take much debate to decide to stop in! Seemed like the perfect thing to do on a play-it-by-ear Saturday. The concept is great. For $7 per person, you can fish in one of the two ponds for as long as you want all... More Helpful? 1 Thank c0kelly Report",,4,,,Agoura,,,,https://www.tripadvisor.com/Attraction_Review-g29068-d592071-Reviews-Clago_s_Pond-Agoura_California.html,agoura.json
Conejo Players Theatre,"“ Fun Place to See the Theatre - Conejo Players Theatre ” Reviewed November 5, 2015 We like this small but good theatre to see a play at the Conejo Players Theatre. They have a play season, and for the coming year, have such shows at the Follies, Improv, Hound of the Bakervilles, Wizard of Oz, Amadeaus, and Reefer Madness and so forth. As such, some shows are great for the entire family; some are great... More Helpful? Thank mini Report",,11,,,Thousand Oaks,,,,https://www.tripadvisor.com/Attraction_Review-g60959-d8720448-Reviews-Conejo_Players_Theatre-Thousand_Oaks_California.html,thousand_oaks.json
Paradise Falls,"Waterfalls , Nature & Parks","This is a popular hiking place, the waterfall is small but is still there,remember to bring water and wear a hat, pace yourself and have fun in the beauty of nature.",5,40,,Thousand Oaks,"Wildwood Park 928 Avenida de los Arboles , Thousand Oaks , CA 91360",,,https://www.tripadvisor.com/Attraction_Review-g60959-d4474916-Reviews-Paradise_Falls-Thousand_Oaks_California.html,thousand_oaks.json
California Oil Museum,,"Not a gi-normous place but make sure to leave plenty of time to see all. Great exhibitions - especially liked the re motor bikes documentary, and the video re animal life around... read more",1,39,+1 805-933-0076,Santa Paula,"1001 E Main St , Santa Paula , CA 93060-2809",,,https://www.tripadvisor.com/Attraction_Review-g33053-d2169549-Reviews-California_Oil_Museum-Santa_Paula_California.html,santa_paula.json
High Street Arts Center,,"High Street is a wonderful little gem in Moorpark. Hidden there, is the high Street Arts Center. Actors of all types perform here, and they are extremely talented and always put... read more",3,8,(805) 529-8700,Moorpark,"45 High Street , Moorpark , CA 93021",,,https://www.tripadvisor.com/Attraction_Review-g32741-d6757947-Reviews-High_Street_Arts_Center-Moorpark_California.html,moorpark.json
Rustic Canyon Golf Course,,"We played the front nine only for part of a business trip. The golf carts have GPS in text format only. That is, it will inform you of yardage to the green and major obstacles... read more",7,3,+1 805-530-0221,Moorpark,"15100 Happy Camp Rd , Moorpark , CA 93021-1348",,,https://www.tripadvisor.com/Attraction_Review-g32741-d6676993-Reviews-Rustic_Canyon_Golf_Course-Moorpark_California.html,moorpark.json
